model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
72,6,11700,0,0.31577505474877204,1,0.05033418878102119,0.1735629551132917,0.4271690065621527
20,5,11500,1,1.7206661076553198,1,0.36372171414358806,-0.11771212000508793,0.4271690065621527
72,3,17400,0,-0.6438806481745776,0,0.36372171414358806,-0.21653759192025235,-0.5265055715163071
9,4,16000,1,1.2661372498122323,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
72,4,13100,0,1.739926565973641,0,0.05033418878102119,-0.31016172320830276,0.4271690065621527
9,4,14700,0,2.1830517958147384,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
20,3,21100,1,0.37840521641324326,1,0.36372171414358806,0.7821198084856202,0.4271690065621527
45,2,24400,1,-0.4956334841487109,0,0.36372171414358806,-0.7886850609027837,0.4271690065621527
69,1,18750,0,-0.9693330079636471,0,0.36372171414358806,-0.5598260733097712,-0.36755980850323033
45,4,16500,0,-0.04649216709396517,1,0.5987623581655133,-0.31016172320830276,0.4271690065621527
56,3,11000,0,0.4583204047736439,0,0.4420685954842298,0.610475567790861,-1.1622886235686134
69,3,13400,0,0.050034605363822045,1,0.4420685954842298,0.6936970178246842,-0.20861404549015358
43,2,20000,0,-0.5466355369450114,0,0.4420685954842298,-0.26855099819139155,-0.5265055715163071
9,5,15400,1,-0.049634899220497776,1,-1.594950319372455,0.610475567790861,0.4271690065621527
45,4,15500,1,-0.5602839736088102,1,0.5987623581655133,-0.26855099819139155,0.4271690065621527
72,3,14800,0,-0.13996599977169213,1,0.36372171414358806,0.8757439397736714,0.4271690065621527
9,5,17100,1,0.3475166492267514,1,-1.4382565566911716,0.3035964707911397,0.4271690065621527
37,3,25750,1,-0.32790138093834204,1,0.36372171414358806,-0.00848396683569553,0.4271690065621527
72,4,11750,0,2.1408044967994933,1,-1.9083378447350219,0.9745694116888354,0.4271690065621527
56,3,11200,0,0.470577060067121,0,-1.9083378447350219,0.610475567790861,-1.1622886235686134
56,3,12800,0,-0.17920525518011354,0,-1.4382565566911716,-0.00848396683569553,-0.5265055715163071
72,3,16000,1,1.512347863839444,0,0.36372171414358806,-0.16972552627622714,0.4271690065621527
20,3,20000,1,0.9176980493262387,1,0.36372171414358806,0.37641523957073453,0.4271690065621527
72,6,11950,0,1.628000406095844,1,-1.594950319372455,0.610475567790861,0.4271690065621527
72,7,9400,0,0.7028698603911169,1,-1.4382565566911716,0.5272541177570386,0.4271690065621527
72,3,20000,1,-0.15671227238878732,1,-1.4382565566911716,0.5272541177570386,0.4271690065621527
9,4,13300,0,2.4865948230645523,1,-1.4382565566911716,0.4492340083503297,0.4271690065621527
9,3,18500,1,0.21336688359704525,1,-1.594950319372455,0.4492340083503297,0.4271690065621527
69,7,8300,0,3.3491401032780446,1,-1.9083378447350219,0.9745694116888354,-0.20861404549015358
56,4,13500,0,-0.07015245038943209,0,-1.4382565566911716,0.1735629551132917,-0.5265055715163071
20,2,19800,0,-0.1576101958535109,0,0.4420685954842298,-0.4401952388861508,0.4271690065621527
45,4,15400,1,0.21790139709389944,1,0.36372171414358806,-0.00848396683569553,0.4271690065621527
72,3,13900,0,-0.4467415514945108,0,0.36372171414358806,-0.11771212000508793,-0.5265055715163071
72,2,15600,0,-0.19182107985948016,0,0.36372171414358806,-0.16972552627622714,-0.5265055715163071
9,4,16200,1,2.9178674631712984,1,-1.4382565566911716,0.37641523957073453,2.0166266366929184
56,4,10600,0,-0.13085207660474757,0,-1.9083378447350219,0.610475567790861,-1.1622886235686134
72,4,14300,0,0.9492151629380371,1,-1.594950319372455,0.7821198084856202,0.4271690065621527
45,4,14700,0,0.3753971728064192,1,-1.4382565566911716,0.2359790426386589,0.4271690065621527
45,2,19100,1,0.802135299416311,0,0.36372171414358806,-0.6950609296147329,0.4271690065621527
